justify	THERE HAS TO BE SOME TIME SOME PERIOD WHEN THAT IS BEING IMPLEMENTED	BUT WE DO NOT SEE HOW  PUTTING THOSE COMPANIES ABOVE THE PEOPLE IS WHAT WE SHOULD BE DOING
justify	WE BELIEVE THAT IT IS MORE IMPORTANT TO PROTECT THOSE INDIVIDUALS RIGHTS TO PUBLIC HEALTH RATHER THAN THOSE COMPANIES RIGHT TO PROFIT	BECAUSE THAT'S WHAT IT'S ESSENTIALLY IS
justify	BUT THE PROBLEM HERE IS NOT EXACTLY WITH THE SMOKERS THEMSELVES	BECAUSE OK THEY ARE TAKING A RISK FOR THEMSELVES
justify	THOSE PEOPLE CERTAINLY DO NOT HAVE THE CHOICE WHETHER THAT HAPPENS	BECAUSE ESSENTIALLY WHEN YOU HAVE THE SMOKERS BEING IN A PLACE THAT DOESN'T MEAN THAT ALL THE OTHER PEOPLE AROUND ARE NON SMOKERS AND DO NOT WANT TO BE EXPOSED TO SMOKING SHOULD LEAVE THAT'S ABSURD
exemplification	ESPECIALLY HERE IN GREECE THEY ARE NOT IMPLEMENTED THE WAY THEY SHOULD BE	SO YOU CAN SEE IN MANY RESTAURANTS  FOR EXAMPLE PEOPLE SMOKING AROUND EVEN INDOORS WHERE IT IS NOT ALLOWED
exemplification	THE PROBLEM EXACTLY HERE IS HOW OTHERS ARE AFFECTED BY SUCH ACTIONS	SO FOR EXAMPLE WITH DRIVING  WE ARE TRYING TO ENSURE THAT THE PEOPLE WHO DRIVE ARE ACTUALLY RESPONSIBLE AND KNOW HOW TO DRIVE
justify	GENERALLY WHAT WE SEE IS THE TENDENCY OF SMOKERS BEING IRRESPONSIBLE	BECAUSE EXACTLY AS  PREVIOUSLY MENTIONED THAT EXAMPLE OF PEOPLE SMOKING WHERE THEY SHOULDN'T BE
justify	THAT DOESN'T SIMPLY MEAN THAT SMOKING IS FINE AND THE GOVERNMENT SHOULD BE ALLOWING IT	BECAUSE EXACTLY IT IS A PROBLEM HERE IS WHAT HAPPENS TO THE OUTER THROUGH THE PROCESS SMOKERS WHAT HAPPENS TO EVERYONE THAT IS INVOLVED IN THAT NOT EVERYONE DOES HAVE A CHOICE
justify	SO TODAY WE ARE AGAINST BANNING SMOKING	BECAUSE OF THE ECONOMICAL APPLICATIONS SUCH A MEASURE WOULD HAVE
exemplification	BECAUSE OF THE ECONOMICAL APPLICATIONS  SUCH A MEASURE WOULD HAVE	FOR EXAMPLE IN THE UNITED KINGDOM HUNDREDS OF MILLIONS OF POUNDS ARE GAINED FROM THE TAXES ON SMOKING
justify	WHEN THERE SMOKERS ARE IN THE EXTERIOR OF A BUILDING THEN THEY ARE NOT IN THE DANGER OF SMOKING	SINCE ITS IN THE OPEN AIR  AND SMOKING DOES NOT AFFECTS THEM
explain	AND THAT HAS NOTHING TO DO WITH A SMOKERS AND NON SMOKERS	IT HAS TO DO THAT THOSE WHO RULES THAT THE ORGANISATIONS THAT ARE RESPONSIBLE FOR CHECKING THOSE RULES FOR CHECKING THOSE RESTAURANTS
exemplification	IT HAS TO DO THAT THOSE WHO RULES THAT THE ORGANISATIONS THAT ARE RESPONSIBLE FOR CHECKING THOSE RULES FOR CHECKING THOSE RESTAURANTS	FOR EXAMPLE IF THEY ARE APPLYING THE RULES THEY DO NOT DO THE JOB CORRECTLY
explain	GOVERNMENT  WILL EVEN  AFFORD TO FREE MARKET AND CONSUMER IS RESPONSIBLE FOR HIS OWN HEALTH FOR TAKING IN ACCOUNT THE DANGERS THAT SMOKING COULD HAVE	AND FOR THE GOVERNMENT TO BE OVER PROTECTIVE USUALLY LEADS TO A STATE THAT CITIZENS ARE NOT VERY CONVENIENT HAVING A GOVERNMENT IMPOSING SUCH TO THROW US ON WHAT THEY CAN BUT AND WHAT THEY CANNOT BUY AND WHAT THEy CAN DO WITH THEIR HEALTH AND WHAT THEY CANNOT DO WITH THEIR HEALTH
explain	IT HAS TO DO WITH THEY KNOW WORLD OF THE SMOKERS	THE SMOKERS ARE NOT AWARE OF POSSIBLE IMPLICATIONS THE POSSIBLE DANGERS OF SMOKING THEN THAT HAS NOTHING TO DO WITH THE SMOKING  INDUSTRY
exception	THE SMOKERS ARE  NOT AWARE OF POSSIBLE IMPLICATIONS THE POSSIBLE DANGERS OF SMOKING THEN THAT HAS NOTHING TO DO WITH THE SMOKING  INDUSTRY	EVEN IN THE PACKETS IT  IS MENTIONED IT IS MENTIONED THAT SMOKING IS
justify	I WOULD NOT AGREE ON DESTROYING ENTIRE COMPANIES ENTIRE WAY ENTIRE ECONOMIC SECTOR JUST BECAUSE POSSIBLE SMOKERS ARE THERE	BECAUSE THERE ARE IRRESPONSIBLE DRIVERS THAT DOESN'T MEAN THAT THERE ARE WE SHOULD BAN OF COURSE CONSTRUCTING CARS
justify	WE'RE HERE TODAY TO SUPPORT PROPOSE A BAN	SINCE SMOKING IS A CHOICE
justify	WE'RE HERE TODAY TO SUPPORT PROPOSE A BAN	SINCE NOT ALL  PEOPLE HAVE CHOSEN TO SMOKE
