negative	WE ARE NOT HERE TO PROPOSE LEGALIZATION OF MARIJUANA	BUT INSTEAD A GOVERNMENT THAT IS EVEN MORE AWARE OF  WHAT THE IMPLICATIONS ARE
negative	HOWEVER IT'S NOT BANNED AND IT'S PRESENT  EVERYWHERE	HOWEVER THERE ARE DANGERS IMPLICATIONS IN PRACTICALLY IN EVERYTHING EVEN DRIVING THAT DOESN'T MEAN THAT THE GOVERNMENT SHOULD BAN DRIVING BECAUSE WELL IT IS DANGEROUS
negative	I CAN UNDERSTAND YOUR POINT TO SOME EXTENT	BUT THE CASE IS THAT IF WE HAVE A SMOKER THE REASON THAT HE WANTS TO SMOKE  IS BECAUSE OF NICOTINE
negative	YES I SEE YOUR POINT	BUT WE'VE SEEN MANY CAMPAIGNS WE'VE SEEN MANY POSTERS HELPING PEOPLE QUIT FROM SMOKING BUT THEY ARE ACTUALLY INEFFECTIVE
negative	BECAUSE IT'S A REALLY GOOD EDUCATIONAL MEASURE	BUT NOBODY CAN CONVINCE THEM THE SMOKERS TO QUIT FROM SUCH AN ADDICITIVE HABIT
negative	YEAH WE UNDERSTAND THAT THERE IS A PROBLEM WITH SMOKING THAT THE NUMBER OF SMOKERS SHOULD BE REDUCED AND IDEALLY DIMINISHED	BUT WE DO NOT SEE HOW A BAN WOULD BE THE RIGHT MEASURE IN ORDER TO HAVE THAT EFFECT
negative	WE HAVE SEEN FOR EXAMPLE PROHIBITON IN THE UNITED STATES IN THE NINETEEN-THIRTIES WHERE THEY TRIED ESSENTIALLY TO BAN ALL ALCOHOL CONSUMPTION AND SALES	BUT THAT DID NOT REALLY WORK BECAUSE OF THE BLACK MARKET AND BECAUSE PEOPLE WERE UNWILLING TO DO SO
negative	LIKE WE HAVE SEEN THAT MANY CAMPAIGNS THAT HAVE ACTUALLY WORKED THAT ARE NOT RELATED TO BANNING	BUT WE ALSO DO NOT SEE HOW BANNING WORKS SO YOU SEE THE PROBLEM HERE BUT ESSENTIALLY THE MEASURE IS INEFFECTIVE
negative	WELL YES BUT NOBODY DRIVES OR INDEED DOES ANY FARMING WORK IN ENCLOSED PLACES	BUT THEY DO SMOKE
negative	I WILL UNDERSTANDING THAT THAT PERSON WILL PROBABLY GO BANKRUPT	BUT IT'S NOT LIKE TOBACCO IS THE PRODUCT THAT ON WHICH THE MINITURE ECONOMY AROUND SCHOOLS IS BASED
negative	AND THE SAME WAY THIS IS WHAT THE NON SMOKER SHOULD DO FOR THE SMOKER	AND EVEN IF WE DONT LOOK AT IT WE HAD RESTRICTED AREAS
