negative	THERE HAS TO BE SOME TIME SOME PERIOD WHEN THAT IS BEING IMPLEMENTED	BUT WE DO NOT SEE HOW  PUTTING THOSE COMPANIES ABOVE THE PEOPLE IS WHAT WE SHOULD BE DOING
justification	WE BELIEVE THAT IT IS MORE IMPORTANT TO PROTECT THOSE INDIVIDUALS RIGHTS TO PUBLIC HEALTH RATHER THAN THOSE COMPANIES RIGHT TO PROFIT	BECAUSE THAT'S WHAT IT'S ESSENTIALLY IS
justification	BUT THE PROBLEM HERE IS NOT EXACTLY WITH THE SMOKERS THEMSELVES	BECAUSE OK THEY ARE TAKING A RISK FOR THEMSELVES
justification	THOSE PEOPLE CERTAINLY DO NOT HAVE THE CHOICE WHETHER THAT HAPPENS	BECAUSE ESSENTIALLY WHEN YOU HAVE THE SMOKERS BEING IN A PLACE THAT DOESN'T MEAN THAT ALL THE OTHER PEOPLE AROUND ARE NON SMOKERS AND DO NOT WANT TO BE EXPOSED TO SMOKING SHOULD LEAVE THAT'S ABSURD
evidence	ESPECIALLY HERE IN GREECE THEY ARE NOT IMPLEMENTED THE WAY THEY SHOULD BE	SO YOU CAN SEE IN MANY RESTAURANTS  FOR EXAMPLE PEOPLE SMOKING AROUND EVEN INDOORS WHERE IT IS NOT ALLOWED
evidence	THE PROBLEM EXACTLY HERE IS HOW OTHERS ARE AFFECTED BY SUCH ACTIONS	SO FOR EXAMPLE WITH DRIVING  WE ARE TRYING TO ENSURE THAT THE PEOPLE WHO DRIVE ARE ACTUALLY RESPONSIBLE AND KNOW HOW TO DRIVE
justification	GENERALLY WHAT WE SEE IS THE TENDENCY OF SMOKERS BEING IRRESPONSIBLE	BECAUSE EXACTLY AS  PREVIOUSLY MENTIONED THAT EXAMPLE OF PEOPLE SMOKING WHERE THEY SHOULDN'T BE
justification	THAT DOESN'T SIMPLY MEAN THAT SMOKING IS FINE AND THE GOVERNMENT SHOULD BE ALLOWING IT	BECAUSE EXACTLY IT IS A PROBLEM HERE IS WHAT HAPPENS TO THE OUTER THROUGH THE PROCESS SMOKERS WHAT HAPPENS TO EVERYONE THAT IS INVOLVED IN THAT NOT EVERYONE DOES HAVE A CHOICE
justification	SO TODAY WE ARE AGAINST BANNING SMOKING	BECAUSE OF THE ECONOMICAL APPLICATIONS SUCH A MEASURE WOULD HAVE
evidence	BECAUSE OF THE ECONOMICAL APPLICATIONS  SUCH A MEASURE WOULD HAVE	FOR EXAMPLE IN THE UNITED KINGDOM HUNDREDS OF MILLIONS OF POUNDS ARE GAINED FROM THE TAXES ON SMOKING
justification	WHEN THERE SMOKERS ARE IN THE EXTERIOR OF A BUILDING THEN THEY ARE NOT IN THE DANGER OF SMOKING	SINCE ITS IN THE OPEN AIR  AND SMOKING DOES NOT AFFECTS THEM
