THERE HAS TO BE SOME TIME SOME PERIOD WHEN THAT IS BEING IMPLEMENTED	BUT WE DO NOT SEE HOW  PUTTING THOSE COMPANIES ABOVE THE PEOPLE IS WHAT WE SHOULD BE DOING
WE ARE NOT HERE TO PROPOSE LEGALIZATION OF MARIJUANA	BUT INSTEAD A GOVERNMENT THAT IS EVEN MORE AWARE OF  WHAT THE IMPLICATIONS ARE
HOWEVER IT'S NOT BANNED AND IT'S PRESENT  EVERYWHERE	HOWEVER THERE ARE DANGERS IMPLICATIONS IN PRACTICALLY IN EVERYTHING EVEN DRIVING THAT DOESN'T MEAN THAT THE GOVERNMENT SHOULD BAN DRIVING BECAUSE WELL IT IS DANGEROUS
I CAN UNDERSTAND YOUR POINT TO SOME EXTENT	BUT THE CASE IS THAT IF WE HAVE A SMOKER THE REASON THAT HE WANTS TO SMOKE  IS BECAUSE OF NICOTINE
YES I SEE YOUR POINT	BUT WE'VE SEEN MANY CAMPAIGNS WE'VE SEEN MANY POSTERS HELPING PEOPLE QUIT FROM SMOKING BUT THEY ARE ACTUALLY INEFFECTIVE
BECAUSE IT'S A REALLY GOOD EDUCATIONAL MEASURE	BUT NOBODY CAN CONVINCE THEM THE SMOKERS TO QUIT FROM SUCH AN ADDICITIVE HABIT
YEAH WE UNDERSTAND THAT THERE IS A PROBLEM WITH SMOKING THAT THE NUMBER OF SMOKERS SHOULD BE REDUCED AND IDEALLY DIMINISHED	BUT WE DO NOT SEE HOW A BAN WOULD BE THE RIGHT MEASURE IN ORDER TO HAVE THAT EFFECT
WE HAVE SEEN FOR EXAMPLE PROHIBITON IN THE UNITED STATES IN THE NINETEEN-THIRTIES WHERE THEY TRIED ESSENTIALLY TO BAN ALL ALCOHOL CONSUMPTION AND SALES	BUT THAT DID NOT REALLY WORK BECAUSE OF THE BLACK MARKET AND BECAUSE PEOPLE WERE UNWILLING TO DO SO
LIKE WE HAVE SEEN THAT MANY CAMPAIGNS THAT HAVE ACTUALLY WORKED THAT ARE NOT RELATED TO BANNING	BUT WE ALSO DO NOT SEE HOW BANNING WORKS SO YOU SEE THE PROBLEM HERE BUT ESSENTIALLY THE MEASURE IS INEFFECTIVE
WELL YES BUT NOBODY DRIVES OR INDEED DOES ANY FARMING WORK IN ENCLOSED PLACES	BUT THEY DO SMOKE
I WILL UNDERSTANDING THAT THAT PERSON WILL PROBABLY GO BANKRUPT	BUT IT'S NOT LIKE TOBACCO IS THE PRODUCT THAT ON WHICH THE MINITURE ECONOMY AROUND SCHOOLS IS BASED
AND THE SAME WAY THIS IS WHAT THE NON SMOKER SHOULD DO FOR THE SMOKER	AND EVEN IF WE DONT LOOK AT IT WE HAD RESTRICTED AREAS
AIR DOES TRAVEL AND IN THAT SENSE IF WE IF THAT IS OUR ARGUMENT FOR BANNING SMOKE WE SHOULD BAN CARS	BUT THAT'S NOT ACTUALLY THE CASE
SO OF COURSE IT IS IMPORTANT TO VALUE OTHER PEOPLES HEALTH	BUT THAT'S WHY WE HAVE THE RESTRICTIONS AND THAT'S WHY WE HAVE LIMITS TO IT
SO OF COURSE IT IS IMPORTANT TO VALUE OTHER PEOPLES HEALTH	BUT WE A BAN IS A COMPLETELY DIFFERENT THING
THEREFORE A NON SMOKER CAN STAY INSIDE THE RESTAURANT	WHILE THE SMOKER CAN BE OUTSIDE THE RESTAURANT
WE CANNOT SAY OH BECAUSE YOU ARE FIVE METRES AWAY FROM A SCHOOL YOU CANNOT SELL TOBACCO	BUT BECAUSE YOU ARE FIFTEEN METRES AWAY FROM THE SCHOOL YOU CAN SELL TOBACCO AND IT IS OK
AND OK  WE GET THE POINT AND IT IS VERY IMPORTANT POINT THAT IT IS NOT PROPERLY IMPLEMENTED	WE BELIEVE THAT YES WE SHOULD FOCUS ON MAKING IT MORE ACTIVE AND ACTUALLY HAVING A POLICE FORCE THAT WILL BE INTERCEPT WHEN THEY GET A CALL TO ACTUALLY REACT TO AND CAUSE THE FINES AND ACTUALLY MOVE ON THE WHOLE PROCEDURE
AND ALSO ON YOUR POINT CONCERNING THE POLICE FORCES WE DO NOT SAY THAT WE GOING TO HAVE A SPECIFIC TASK FORCES FOR THAT	BUT WE DO CLAIM IS THAT RIGHT NOW IN THE STATUS QUO THE POLICE IS NOT REACTING TO WHEN SUCH INCIDENTS HAPPEN
DRIVING CARS THE EXHAUST FUMES FROM THE CARS ARE ACTUALLY MUCH MORE DAMAGING THAN A PERSON SMOKING OUTDOORS	BUT WE HAVEN'T BANNED DRIVING
SUPPORTING SOMEBODY'S RIGHT TO HEALTH IS VERY IMPORTANT	BUT WE ARE SUPPOSING THAT IN A RESTAURANT THERE WILL ALL BE GROUPS OF SMOKERS AND GROUPS OF NON SMOKERS
I UNDERSTAND THAT THEY DO HAVE THE RIGHT NOT TO INHALE SECONDHAND SMOKE EVERYBODY DOES THAT DOES HAVE THAT RIGHT	BUT IT'S MORE AN ISSUE OF PERSONAL CHOICE THAN AN ACTUAL BAN
THERE ARE MANY STUDIES THAT SHOW THAT SOME PORTIONS OF ALCOHOL EVERYDAY  CAN ENHANCE YOUR MENTAL CAPABILITIES	THEY ARE ACTUALLY NO SUCH RESEARCH BEING DONE CONCERNING SMOKING OR DRUGS
BECAUSE THE SOCIETY BELIEVES THAT IN A PRIVATE SPACE IN YES THE SPACE OF YOUR HOME YOU CAN DO AS YOU LIKE	BUT YOU CANNOT DO AS YOU LIKE IN A PUBLIC SPACE
AND THAT'S WHY WE'RE GOING TO MAKE THE ENVIRONMENT FOR THEM	BUT WE SHOULD ALSO  MAKE THE  ENVIRONMENT FOR THE NON SMOKERS
OF COURSE THERE ARE LIMITATIONS THAT IN AN OPEN SPACE IT IS MUST EASIER FOR THE SECOND HAND SMOKE PROBLEM TO BE MINIMIZED	BUT IT'S STILL THERE
BUT IF HE IS AWARE  AND YES OK HE HAS TO LIMIT HIMSELF NOT TO DO IT INSIDE HOUSE	BUT HE'S ALLOWED TO GO OUTSIDE IN THE CORNER AND BE ABLE TO SMOKE
HOW IS THE GOVERNMENT GOING TO CONTROL	FOR EXAMPLE IN GREECE MORE THAN FIFTY PERCENT OF POPULATION ARE SMOKERS
SMOKING YES ITS A HABIT THAT IS HAZARDOUS	HOWEVER JUST BANNING IT IS NOT IT IS NOT IN THE ESSENCE OF THE PROBLEM
YOU SAY THAT WE SHOULD EDUCATE THE YOUNG PEOPLE YES	BUT IF TOBACCO IS EVERYWHERE AND YOU KNOW CIGARETTES ARE EVERYWHERE ALLOWED YOU KNOW IT'S NOT GOING REALLY TO HELP THE SITUATION
WE GET WHY IT SHOULD BE BANNED IN HOSPITALS FOR EXAMPLE	BUT WE DO NOT SEE HOW A COMPLETE BAN IN PUBLIC PLACES ACTUALLY SUCCEEDS IN DOING SO
WE BELIEVE IT'S ESSENTIALLY THAT THE INDIVIDUAL HAS THE RIGHT TO TO CHOOSE WHETHER TO SMOKE OR NOT	BUT ALSO THE OTHER INDIVIDUALS HAVE THE RIGHTS TO CHOOSE WHETHER THEY WANT TO BE NEAR THE SMOKER OR NOT
WE BELIEVE THAT EVEN THOUGH  THERE ARE SOME CURRENT BANS WHICH WE BELIEVE THEY ARE OKAY	BUT WE DO NOT WANT THAT TO BE EXTENDED ANYMORE ANY FURTHER
WE'RE CERTAINLY NOT IN FAVOUR OF ALL PEOPLE AROUND SMOKING OR IN FAVOR OF THE ACT OF SMOKING ITSELF	BUT WE ARE IN FAVOUR OVER THE FREEDOM TO CHOOSE WHETHER TO SMOKE OR NOT
THERE USED TO BE EVEN A FEW DECADES AGO OVER FIFTY OVER FIFTY PERCENT	BUT THE NUMBER OF THE PERCENTAGE OF SMOKERS CURRENTLY IS LOWER THAN TWENTY PERCENT
BUT WE ALSO WE BELIEVE THAT  THERE ARE SO MANY YOUNG PEOPLE WHO ARE WHO AS IT IS WITH THE CURRENT STATUS QUO THEY'RE SIMPLY GONNA BECOME SMOKERS	WE DO NOT SEE IN ANY WAY HOW SUCH A MEASURE LIKE THE ONE YOU'RE PROPOSING IS ACTUALLY IMPROVING THEIR SITUATION INSTEAD OF ACTUALLY TRYING TO TO EDUCATE THEM AND HAVE ALL THESE CAMPAIGNS THAT WILL MAKE THEM CHANGE THEIR MENTALITY
BUT AS YOU JUST SAID CAMPAIGNS ARE NOT ACTUALLY AS EDUCATIONAL THEY HAVE NOT ACTUALLY BROUGHT AWARENESS IN OUR SOCIETY	WHEREAS A BAN WILL BRING AWARENESS
BUT ANYWAY I THINK THAT WE SHOULD PROBABLY EDUCATE PEOPLE WITH CAMPAIGNS OR POSTER'S OR LOGOS ON CIGARETTES WHICH THEY ARE ALREADY THERE	BUT THEY APPARENTLY DO NOT REALLY WORK
I SEE YOUR POINT	BUT PEOPLE  REALLY DO NOT DO ACTIONS LIKE CRIMES OR MURDERS BECAUSE THEY ARE AFRAID OF THE CONSEQUENCES
LOT'S OF ACTIONS ARE ACTUALLY BANNED SUCH AS AS WE SAID CRIMES	BUT WE SEE A LOT OF CRIMINALS IN THE SOCIETY
I THINK THAT YES WE SHOULD REALLY PAY ATTENTION TO THE COMMUNITY	BUT NOT AS DRASTIC AS YOU SAID AWAY
I THINK THAT YES OF COURSE WE'VE SEEN MANY CASES WITH PEOPLE SPENDING LOTS OF MONEY ON CIGARETTES	BUT WE HAVE SEEN OTHER CASES THAT PEOPLE BECAUSE OF HAVING A FAMILY OR SEE THAT IT IS SOMETHING HELPFUL FOR THEMSELVES TRYING AND ACTUALLY SUCCEEDING IN QUITTING SMOKING
CO2 IS BAD FOR THE PHENOMENOM OF GASES BUT HOWEVER  IT IS NOT DIRECTLY BAD FOR HUMANS	WHEREAS A CIGARETTE HAS 120 SUBSTANCES ASIDE THAT HAVE BEEN PROVEN TO BE HAZARDOUS FOR THE HUMAN HEALTH
AND NO ONE WILL STOP THE PROBLEM RIGHT NOW AS INSTEAD WE WILL EDUCATE THE FUTURE GENERATION HOW TO NOT SMOKE AND HOW SMOKING IS BAD THEY WANT THAT IN TWENTY THIRTY OR FORTY YEARS WE HAVE OUR RESULT THEY PROPOSE MEASURE THAT WILL BE VERY LONGTERM	HOWEVER THE PROBLEM HAVE TO BE TACKLE NOW AND NOT IN THIRTY OF FORTY YEARS
WE BELIEVE THAT BECAUSE THEY DO NOT HAVE THE FREEDOM OF CHOICE OF WHETHER THEY ARE AROUND THOSE AROUND THE SMOKERS AROUND THE SMOKE AND	WE ALL KNOW THE VERY BAD EFFECTS IN IN IN HEALTH IN GENERAL CAUSED BY SMOKING AND BY PASSIVE SMOKING
BECAUSE ESSENTIALLY WHEN YOU HAVE THE SMOKERS  BEING IN A PLACE THAT DOESN'T MEAN THAT ALL THE OTHER PEOPLE AROUND ARE NON SMOKERS AND DO NOT WANT TO BE EXPOSED TO SMOKING SHOULD LEAVE THAT'S ABSURD	SO IT DOESN'T MAKE MUCH MORE SENSE IN ORDER TO PROTECT THOSE PEOPLE RATHER THAN SIMPLY PUTTING THE THE RIGHT OF THE PEOPLE WERE TAKING THAT RISK
BUT WHAT THEY BELIEVE THIS GENERALLY THAT THEY ARE NOT ENOUGH	ESPECIALLY HERE IN GREECE THEY ARE NOT IMPLEMENTED THE WAY THEY SHOULD BE
WE HAVE TOBACCO WHICH WE ALL KNOW HOW DANGEROUS IT IS AND HOW CARCINOGENIC IT IS	AND IT IS LEGAL
BUT INSTEAD A GOVERNMENT THAT IS EVEN MORE AWARE OF  WHAT THE IMPLICATIONS ARE	AND WE BELIEVE THAT BECAUSE OF THAT SMOKING SHOULD BE BANNED
SO FOR EXAMPLE AT A WITH DRIVING  WE ARE TRYING TO ENSURE THAT THE PEOPLE PEOPLE WHO DRIVE ARE  ACTUALLY RESPONSIBLE AND KNOW HOW TO DRIVE	AND THEY ACTUALLY GET THOSE DRIVERS LICENSE LICENSES
WITH SMOKING YOU CAN'T  REALLY IMPLEMENT SUCH THING	GENERALLY WHAT WE SEE IS THE TENDENCY OF SMOKERS BEING IRRESPONSIBLE OF SMOKERS EXACTLY
SO GENERALLY WE SEE THAT SMOKERS OUT THERE ARE IN ARE INSENSITIVE TO TO THOSE THINGS EVEN IF THEY WERE NOT	THAT SIMPLY DOES NOT  THAT DOESN'T SIMPLY MEAN THAT OKAY SMOKING IS FINE AND THE GOVERNMENT SHOULD BE ALLOWING IT
FOR EXAMPLE IN THE UNITED KINGDOM HUNDREDS OF MILLIONS OF POUNDS  ARE GAINED FROM THE TAXES ON SMOKING	SAME THING GOES FOR THIS BANNING SMOKING  COULD MEAN THAT THERE WOULD BE HUGE ECONOMICAL IMPLICATIONS
BANNING SMOKING  COULD MEAN THAT THERE WOULD BE HUGE ECONOMICAL IMPLICATIONS	AND POTENTIALLY CAN DESTROY A HUGE INDUSTRY THAT BENEFITS THE ENTIRE  ECONOMIOC SOCIETY
EVERY SMOKER IS INFORMED EVEN IN THE PACKET  ITS WRITTEN THAT SMOKING IS BAD FOR YOUR HEALTH AND IN  EVERY SMOKER IS AWARE OF THE IMPLICATION OF HEALTH THAT SMOKING COULD  THE IMPLICATIONS OF WHAT SMOKING COULD CAUSE	AND MOREOVER THERE IS PLENTY OF INFORMATIONS AROUND SCHOOLS AROUND WORKPLACES EVERYBODY IS AWARE OF DANGERS OF SMOKING
